PCAS,HF3ndOPT,Gibbs,Enthalpy,Entropy,Polarizability,LUMO,HOMO,HLG,NLUMO,NHOMO,excSinglet_eV,TotEnergyTD,Oscillator_strength,Re,Volume,Density,ESPI,ESPA,TA,PA,N_A,ESPTA,ESPPA,ESPNA,Tvariance,Pvariance,Nvariance,BOC,POS,Pi,MPI,NSA,PSA,FBOmax,FBOmin,FBOmin5,QCPositivemax,QCNegativemax,QCNegativemin,QHPositivemax,LccMax,LccMin,LccAver,DNmax,DNmin,DEmax,DEmin,DN0max,DN0min,DE0max,DE0min,TDN,TDE,TDN0,TDE0,FwLUMOmax,FwHOMOmax,FwRadicalmax,FwDualmax,FwLUMOmin,FwHOMOmin,FwRadicalmin,FwDualmin,TotalFwLUMO,TotalFwHOMO,FEDLUMOmax,FEDHOMOmax,FEDLUMOmin,FEDHOMOmin,TotalFEDLUMO,TotalFEDHOMO,LUMO_delocalization_index,HOMO_delocalization_index,FLUMOmax,FHOMOmax,FRadicalmax,FDualmax,FLUMOmin,FHOMOmin,FRadicalmin,FDualmin,ConElectrophilicitymax,ConElectrophilicitymin,ConNucleophilicitymax,ConNucleophilicitymin,VerticalIP,VerticalEA,Electronegativity,Hardness,Softness,Electrophilicity,Nucleophilicity
p0000050180,-1797.356259,-1797.164524,-1797.102899,129.7,150.58,-0.01504,-0.30838,0.29334,-0.00452,-0.33798,6.2617,-1797.126145,0.0009,5087.4446,1944.11747,1.5049,-44.80669,40.26402,898.73034,526.58897,372.14137,0.00448863,0.02383366,-0.02288506,0.00049971,0.00014714,0.00035257,0.20774999,0.00010382,0.02287983,0.63785851,84.82,166.85,2.13201459,0.0500184,0.80121346,-0.058582223,-0.058582223,-0.179965097,0.268210439,2.527596,1.520263,1.853013,-10.27606,-30.69406,-1.99331,-22.90528,-14.75057,-44.90671,-1.52005,-16.50861,-500.25472,-222.62275,-723.52303,-166.18103,0.06835,0.1834,0.09492,0.06342,0.002,0.00245,0.01054,-0.18141,0.876304,0.99993,20.849,37.783,0.1,0.029,91.24237,99.988391,10.59,17.84,0.1571,0.191,0.095,0.1341,-0.0011,-0.0019,0.0077,-0.1921,0.15431,-0.00104,0.13941,-0.00141,8.9529,-0.3866,4.2832,9.3395,0.1071,0.9821,0.7298
p0000050657,-1830.716751,-1830.566191,-1830.499008,141.4,228.32,-0.06783,-0.30375,0.23592,-0.03845,-0.3107,3.9704,-1830.570842,0,15426.0902,2266.68727,1.6172,-32.86237,71.35026,1095.31839,717.84564,377.47276,0.00524931,0.01774543,-0.01851474,0.0006234,0.00038695,0.00023645,0.23542932,0.00014677,0.01729802,0.49009201,182.4,124.32,1.9312219,0.05210738,0.70368762,0.246247542,-0.051295382,-0.141246157,0.352918591,3.015648,1.382949,2.129463,-7.40385,-29.60382,-1.76832,-25.6311,70.8847,-98.7191,-1.21702,-15.37975,-544.93108,-322.61737,-519.5727,-200.22157,0.05684,0.07851,0.05317,0.051,0.00533,0.00256,0.00565,-0.05067,0.913594,0.999979,12.707,12.278,0.065,0.084,99.961986,99.99813,7.08,6.5,0.1097,0.0871,0.0776,0.0648,0.0063,0.01,0.0117,-0.0709,0.18051,0.01035,0.07452,0.00857,8.8938,1.1832,5.0385,7.7106,0.1297,1.6462,0.8558
p0000052686,-2179.961415,-2179.871396,-2179.810671,127.806,126.05,-0.00962,-0.36152,0.3519,-0.00108,-0.36938,6.3545,-2179.72789,0.0006,13543.2658,1656.21266,1.7418,-33.79283,31.01878,811.42377,400.23365,411.19012,0.00095862,0.01857537,-0.01618872,0.00024221,0.00009681,0.0001454,0.23994208,0.00005812,0.01738989,0.47255102,116.14,111.08,2.08480174,0.05057818,0.76114942,0.042097866,-0.041034523,-0.139344542,0.291097506,1.543844,1.543844,1.543844,-8.71067,-28.58531,-2.11991,-24.39299,-14.7391,-72.27377,-1.42253,-15.32418,-347.62051,-218.49508,-667.23321,-142.42368,0.09828,0.18026,0.13661,0.07247,0.00615,0.00238,0.02283,-0.13804,0.91057,0.999994,11.309,17.74,0.706,0.034,91.839467,99.998694,6.97,10.93,0.1248,0.136,0.0897,0.0892,0.0036,0.0105,0.0091,-0.1225,0.1414,0.00411,-0.00753,-0.0974,10.5634,-0.5345,5.0145,11.0979,0.0901,1.1329,-0.7163
p0000052857,-1959.033916,-1958.817973,-1958.742605,158.626,208.33,-0.0204,-0.31299,0.29259,-0.01194,-0.31362,5.3795,-1958.836221,0.0007,39567.2089,2437.27774,1.4958,-38.78616,23.56398,1147.26436,687.54837,459.716,0.00182955,0.01943579,-0.02450223,0.00038028,0.00007949,0.0003008,0.16533034,0.00006287,0.02113388,0.58411805,109.02,212.25,2.10588208,0.0524609,0.82077443,0.117655195,-0.014968789,-0.448906918,0.339774372,2.806634,1.39177,2.101836,-9.96784,-32.7684,-2.55757,-29.84096,-15.90688,-466.43496,-1.75238,-16.79836,-592.71083,-316.27046,-3112.74841,-207.74422,0.0452,0.35885,0.20202,0.04293,0.00581,0.00067,0.01091,-0.31365,0.911588,0.999988,16.7,55.643,0.01,0.03,99.03025,99.996239,8.81,32.7,0,0.1835,0.0917,-0.0053,0,0.0053,0.0026,-0.1835,0,0,0.11084,0.0032,9.1934,0,4.5967,9.1934,0.1088,1.1492,0.6042
p0000056553,-692.9884346,-692.783784,-692.732626,107.67,233.51,-0.04162,-0.24911,0.20749,-0.01786,-0.27415,3.7482,-692.8506897,0.057,15667.0724,2011.37915,1.2718,-15.52768,23.52126,944.36021,456.49473,487.86547,-0.00023104,0.0155942,-0.01503868,0.00011945,0.00006976,0.00004969,0.24294521,0.00002902,0.01530032,0.4165305,126.26,138.19,1.6831863,0.05138991,0.84051381,-0.002819134,-0.002819134,-0.126123567,0.131513078,2.982623,1.351123,2.188182,-11.18987,-24.28892,-2.68606,-12.72613,-7.45904,-30.04764,-1.86781,-8.29775,-563.40206,-253.54772,-591.58685,-169.64194,0.02471,0.07577,0.05024,0.01974,0.01188,0.00396,0.00898,-0.05106,0.594985,0.999971,11.152,13.097,0.189,0.073,99.951619,99.996303,5.97,6.77,0.0703,0.0839,0.0771,0.0079,0.014,0.01,0.0124,-0.0136,0.0786,0.01571,0.19646,0.02347,7.4618,0.4554,3.9586,7.0064,0.1427,1.1183,2.3425
p0000060128,-385.9765551,-385.847972,-385.80474,90.989,98.79,-0.00857,-0.29492,0.28635,0.00297,-0.30402,5.4388,-385.7766843,0.0009,1315.4036,1183.23848,1.157,-36.44134,42.28108,620.14206,362.98048,257.16159,0.00111403,0.01669649,-0.02088041,0.00034522,0.00013334,0.00021188,0.2370609,0.00008184,0.01825704,0.50154616,83.71,89.95,1.46573819,0.05346524,0.83392124,-0.017680426,-0.017680426,-0.224556122,0.32374908,2.810165,1.393915,2.093321,-10.92179,-23.86301,-1.98146,-16.64958,-16.22536,-43.2813,-1.46229,-11.86947,-318.19509,-136.4229,-521.20836,-96.47402,0.08775,0.14134,0.08965,0.08367,0.01542,0.00409,0.0242,-0.10915,0.873109,0.999969,22.345,23.975,1.097,0.163,91.182676,99.997486,11.38,14.52,0,0.1542,0.0771,-0.0166,0,0.0166,0.0083,-0.1542,0,0,0.16897,0.01815,8.9,0,4.45,8.9,0.1124,1.1125,1.0959
p0000062737,-1719.168953,-1719.090744,-1719.033102,121.319,112.92,-0.00942,-0.31244,0.30302,0.00181,-0.38159,5.9028,-1718.95203,0.0009,10771.7706,1487.53307,1.6647,-39.00587,26.34066,779.93239,426.34255,353.58984,0.00196151,0.01745761,-0.01672299,0.00041331,0.00011001,0.0003033,0.19532425,0.00008073,0.017027,0.46598306,120.56,97.85,2.16288412,0.05467681,0.79943508,-0.078161957,-0.078161957,-0.329254178,0.252472653,1.332296,1.332296,1.332296,-10.01633,-30.32753,-2.36319,-21.61054,-15.36904,-60.54038,-1.69804,-15.02504,-330.22488,-175.40217,-565.84842,-124.88052,0.11046,0.21047,0.14342,0.08405,0.01053,0.00081,0.01351,-0.15626,0.906807,0.999955,14.749,26.394,0.573,0.001,90.458548,99.994068,8.77,19.22,0.1476,0.2265,0.1397,0.1331,0.0034,-0.0057,0.0025,-0.1737,0.14543,0.00331,0.14025,-0.00352,9.4303,-0.5571,4.4366,9.9875,0.1001,0.9854,0.6192
p0000066819,-940.9099723,-940.585695,-940.51622,146.221,190.15,-0.01573,-0.32147,0.30574,-0.00725,-0.33986,4.1007,-940.7592749,0.0001,16911.7702,2418.14335,1.3038,-34.88394,36.69932,1114.64478,809.05377,305.59101,0.00578145,0.01884502,-0.02880443,0.00034576,0.00008258,0.00026318,0.18179312,0.00006286,0.01926274,0.58709904,108.82,203.31,2.02518612,0.05013882,0.77591293,0.248558247,-0.070668696,-0.266947443,0.302386108,3.179353,1.510689,2.325228,-9.09389,-23.29964,-2.04702,-19.17994,-14.692,-74.49573,-1.44347,-12.41122,-657.90278,-314.80422,-1160.8416,-213.76918,0.03771,0.12872,0.07665,0.03572,0.00326,0.00199,0.00921,-0.10416,0.882015,0.999982,9.086,34.964,0.174,0.007,92.457594,99.999422,4.56,16.91,0.0973,0.2385,0.1384,0.079,0.0012,-0.0038,-7.00E-04,-0.2002,0.10134,0.00121,0.08911,-0.0014,9.3266,-0.3487,4.489,9.6754,0.1034,1.0413,0.3737
p0000068122,-248.4326967,-248.359316,-248.322891,76.663,51.72,-0.00966,-0.30584,0.29618,0.00912,-0.33228,5.4882,-248.2310097,0.001,683.3248,720.42247,1.1369,-43.74728,24.6165,430.19942,308.71933,121.48009,0.00423974,0.02083042,-0.03792242,0.00060969,0.00007749,0.0005322,0.1109401,0.00006764,0.02397359,0.6981591,31.82,88.65,2.01355732,0.05688961,0.81852733,0.118855286,-0.214066729,-0.214066729,0.110519338,2.473537,2.436619,2.45386,-10.82581,-25.48646,-2.28109,-18.15363,-14.67763,-35.99175,-1.784,-13.20646,-193.73566,-76.00694,-272.2751,-57.7728,0.1162,0.37612,0.20086,0.09748,0.01248,0.00448,0.03201,-0.35053,0.873173,1.00005,18.692,39.826,0.646,0.405,90.509006,100.007665,12.77,23.98,0,0.2287,0.1143,-0.0351,0,0.0351,0.0175,-0.2287,0,0,0.1827,0.02803,9.3727,0,4.6864,9.3727,0.1067,1.1716,0.799
p0000070304,-3410.451581,-3410.337535,-3410.267771,146.83,244.4,-0.02991,-0.28658,0.25667,-0.01999,-0.30718,4.7612,-3410.27661,0.0594,13956.6359,2552.12049,1.7866,-24.43752,56.34841,1166.00062,584.77072,581.2299,0.00287141,0.01667112,-0.01101237,0.00026168,0.00020933,0.00005235,0.16002918,0.00004188,0.01401094,0.37688683,223.05,103.47,1.36591188,0.05425403,0.7483154,0.126542061,-0.018419372,-0.175389946,0.314416571,3.104934,1.384761,2.141938,-8.60134,-31.77315,-1.74529,-23.88618,-9.66143,-80.58821,-1.27572,-15.61051,-583.14084,-322.93226,-1081.70356,-217.6944,0.0741,0.07138,0.05342,0.04797,0.01005,0.00191,0.00992,-0.04763,0.877618,0.999964,18.438,15.418,0.175,0.002,99.845691,99.99567,10.02,10.99,0.1054,0.154,0.0998,0.0894,0.0017,-0.0125,0.0116,-0.1084,0.11822,0.00189,0.20368,-0.01659,8.4678,0.164,4.3159,8.3038,0.1204,1.1216,1.323
