PCAS,T_V,CHEMICAL,Formula,MC_number,Log10P,PrimaryObs,P_LR,P_LR_Value,Log10U,UltimateObs,U_LR,U_LR_Value,E,S,A,B,V_McGowanVolume,logP_Soil,MolecularWeight,No. of Hydrogen Bond Donors,No. of Hydrogen Bond Acceptors,TPSA,No. of Rotatable Bonds,C Ratio,N Ratio,NO Ratio,Hetero Ratio,Halogen Ratio,Number of Rings,Number of Aromatic Rings,Number of Rings (size 3),Number of Rings (size 4),Number of Rings (size 5),Number of Rings (size 6),Dielectric Constant,Parachor,Index of Refraction,Surface Tension,Density,Polarizability,Molar Volume,Molar Refractivity,logSw,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
p0000050180,Training,50180,C7H15Cl2N2O2P,46271,0.550228353,3.55,Days to Weeks,4,0.376576957,2.38,Weeks to Months,2,0.5,2.2,0.14,1.18,1.75,0.79,261.09,1,4,51.38,5,0.5,0.14,0.29,0.36,0.14,1,0,0,0,0,1,,504.9,1.51,44.31,1.33,23.03,195.7,58.09,-0.5160924,2.39E-11,2.41513,4.2272,300.092,51.4676,1.04E-06,8.52269,0.635405,0.152333
p0000050657,Vaildati,50657,C13H8Cl2N2O4,198296,0.536558443,3.44,Days to Weeks,4,0.324282455,2.11,Months,1,2.17,2.67,0.77,0.78,2.06,3.87,327.12,2,6,95.15,3,0.62,0.1,0.29,0.29,0.1,2,2,0,0,0,2,,589.13,1.71,71.67,1.62,31.34,202.48,79.05,-4.8595472,1.38E-11,59.9092,4.71712,343.392,229.95,5.06E-09,9.3347,3.74763,6.23E-05
p0000052686,Training,52686,C4H8Cl3O4P,28923,0.557507202,3.61,Days to Weeks,4,0.356025857,2.27,Weeks to Months,2,0.74,1.05,0.42,1.3,1.48,1.06,257.44,1,4,65.57,4,0.33,0,0.33,0.42,0.25,0,0,0,0,0,0,,427.27,1.49,46.62,1.57,18.61,163.52,46.95,-0.731862,1.95E-11,1.03139,4.13785,290.878,76.9546,1.47E-07,9.23857,0.511388,0.515308
p0000052857,Vaildati,52857,C10H16NO5PS2, ,0.556302501,3.6,Days to Weeks,4,0.390935107,2.46,Weeks to Months,2,1.69,1.88,0,1.75,2.2,2.21,325.34,0,6,115.35,6,0.53,0.05,0.32,0.47,0,1,1,0,0,0,1,,641.92,1.55,50.99,1.35,30.5,240.22,76.93,-1.08418,1.62E-11,1.69003,4.22802,362.971,52.9693,3.70E-07,9.67722,2.23026,0.000309394
p0000056553,Training,56553,C18H12,50970,0.423245874,2.65,Weeks to Mont,2,0.245512668,1.76,Months,1,2.71,1.66,0,0.29,1.82,5.51,228.29,0,0,0,0,1,0,0,0,0,4,4,0,0,0,4,3.25,518.77,1.77,53.54,1.19,31.63,191.78,79.78,-6.9503,2.80E-11,258.361,285.962,436.862,220.498,1.18E-05,9.37103,5.60152,1.38E-08
p0000060128,Training,60128,C8H10O,426252,0.611723308,4.09,Days,5,0.546542663,3.52,Days to Weeks,4,0.78,0.91,0.31,0.4,1.06,2.01,122.16,1,1,20.23,2,0.89,0,0.11,0.11,0,1,1,0,0,0,1,,300.6,1.54,39.7,1.02,14.8,119.76,37.34,-1.839338,4.16E-11,8.09116,4.51853,218.229,-25.4648,2.60E-07,6.11433,1.36075,0.181288
p0000062737,Training,62737,C4H7Cl2,26738,0.593286067,3.92,Days,5,0.428134794,2.68,Weeks to Months,2,0.65,1.01,0,1.3,1.31,0.55,220.98,0,4,54.57,4,0.36,0,0.36,0.45,0.18,0,0,0,0,0,0,,382.68,1.46,38.15,1.44,16.76,153.98,42.29,0.93054,3.61E-11,0.502026,4.1387,234.005,-59.8885,4.06E-09,6.07272,1.42945,0.0490453
p0000066819,Training,66819,C15H23NO4,20185,0.551449998,3.56,Days to Weeks,4,0.44870632,2.81,Weeks,3,1.41,1.81,0.65,1.62,2.21,2.32,281.35,2,5,83.47,3,0.75,0.05,0.25,0.25,0,2,0,0,0,0,2,,622.44,1.5,39.97,1.14,28.81,247.55,72.66,-3.578826,1.76E-11,2.81761,4.71749,299.743,119.121,1.52E-11,9.27993,0.547757,0.0739048
p0000068122,Training,68122,C3H7NO,25356,0.611723308,4.09,Days,5,0.532754379,3.41,Days to Weeks,4,0.35,1.11,0,0.63,0.65,-0.05,73.09,0,2,20.31,0,0.6,0.2,0.4,0.4,0,0,0,0,0,0,0,,186.08,1.4,25.72,0.88,7.87,82.63,19.86,1.1008,1.12E-12,0.797094,7.57424,152.98,-60.3111,7.36E-08,4.14122,-1.01029,13.691
p0000070304,Training,70304,C13H6Cl6O2,29887,0.385606274,2.43,Weeks to Mont,2,0.247973266,1.77,Months,1,2.21,1.78,1.39,0.27,2.32,6.25,406.9,2,2,40.46,2,0.62,0,0.1,0.1,0.29,2,2,0,0,0,2,,663.56,1.67,61.04,1.71,35.16,237.4,88.7,-6.6822786,7.87E-12,118.254,45.2972,478.941,166.506,3.63E-11,9.3527,7.53844,0.0003451
p0000075354,Training,75354,C2H2Cl2, ,0.471291711,2.96,Weeks,3,0.338456494,2.18,Months,1,0.35,0.46,0,0.1,0.59,1.35,96.94,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,,173.79,1.43,23.17,1.22,8.16,79.21,20.58,-1.40727,1.09E-11,12.8512,7.96796,31.7733,-121.873,0.0257407,2.59801,2.13018,0.0237446
p0000077098,Training,77098,C20H14O4,30464,0.544068044,3.5,Days to Weeks,4,0.387389826,2.44,Weeks to Months,2,2.47,2.34,1,1.18,2.3,4.22,318.32,2,4,66.76,2,0.83,0,0.17,0.17,0,4,3,0,0,1,3,,652.37,1.69,65.04,1.39,34.93,229.72,88.11,-6.12616,7.25E-11,29.6681,44.1389,404.143,262.5,1.85E-10,9.43458,2.88965,0.00125778
p0000078579,Training,78579,C6H12N5O2PS2, ,0.544068044,3.5,Days to Weeks,4,0.367355921,2.33,Weeks to Months,2,2.23,1.88,0.45,1.72,1.86,2.15,281.3,4,7,176.37,5,0.38,0.31,0.44,0.63,0,1,1,0,0,0,1,,561.34,1.68,91.1,1.55,27.28,181.7,68.8,-2.024488,1.42E-11,7.27743,140.378,322.027,165.021,3.91E-07,9.40374,0.934892,0.00085144
p0000078591,Vaildati,78591,C9H14O,24881,0.56937391,3.71,Days to Weeks,4,0.447158031,2.8,Weeks,3,0.54,0.76,0,0.45,1.24,2.12,138.21,0,1,17.07,0,0.9,0,0.1,0.1,0,1,0,0,0,0,1,,346.21,1.46,26.46,0.91,16.42,152.64,41.43,-2.47498,7.69E-11,2.01286,3.69868,216.014,-7.78827,3.70E-05,4.32297,1.70616,0.0887907
p0000078875,Training,78875,C3H6Cl2,21237,0.471291711,2.96,Weeks,3,0.369215857,2.34,Weeks to Months,2,0.38,0.47,0,0.13,0.78,1.73,112.99,0,0,0,1,0.6,0,0,0,0.4,0,0,0,0,0,0,,225.78,1.42,24.77,1.12,10.15,101.2,25.6,-2.06007,5.29E-13,7.08405,7.5986,95.4989,-99.53,0.00279293,2.98922,1.98521,0.0245097
