"Steps","Parameter","AddorRem","RMSE","R2","R2Adj","R2Pred","R","MSE","MAE","CoefVar","FormulaSig","nSample","nDesc"
1,"AATS2v","+","0.347","0.319","0.315","0.302","0.565","0.120","0.274","9.786","0.0000",173,"1"
2,"C1SP3","+","0.312","0.451","0.444","0.419","0.671","0.097","0.249","8.811","0.0000",173,"2"
3,"APC2D1_C_O","+","0.282","0.556","0.548","0.532","0.746","0.079","0.228","7.948","0.0000",173,"3"
4,"PatternFP695_RDKit","+","0.263","0.615","0.606","0.592","0.784","0.069","0.206","7.422","0.0000",173,"4"
5,"MHFP22_RDKit","+","0.248","0.659","0.649","0.630","0.812","0.062","0.194","7.001","0.0000",173,"5"
6,"MHFP1803_RDKit","+","0.237","0.692","0.681","0.661","0.832","0.056","0.185","6.678","0.0000",173,"6"
7,"GraphFP212","+","0.226","0.720","0.708","0.687","0.849","0.051","0.175","6.383","0.0000",173,"7"
8,"MHFP1952_RDKit","+","0.217","0.744","0.732","0.708","0.863","0.047","0.169","6.123","0.0000",173,"8"
9,"MHFP1354_RDKit","+","0.208","0.766","0.753","0.729","0.875","0.043","0.163","5.876","0.0000",173,"9"
10,"MHFP1234_RDKit","+","0.199","0.787","0.774","0.753","0.887","0.040","0.158","5.623","0.0000",173,"10"
11,"RDKFP397_RDKit","+","0.191","0.805","0.791","0.771","0.897","0.037","0.152","5.398","0.0000",173,"11"
12,"RDKFP1735_RDKit","+","0.184","0.821","0.807","0.788","0.906","0.034","0.145","5.192","0.0000",173,"12"
13,"MHFP1030_RDKit","+","0.176","0.837","0.824","0.808","0.915","0.031","0.136","4.957","0.0000",173,"13"
14,"PharmFP122_RDKit","+","0.169","0.850","0.837","0.821","0.922","0.029","0.128","4.775","0.0000",173,"14"
15,"AD2D189","+","0.162","0.863","0.850","0.833","0.929","0.026","0.123","4.575","0.0000",173,"15"
16,"RDKFP1511_RDKit","+","0.155","0.875","0.863","0.847","0.936","0.024","0.118","4.380","0.0000",173,"16"
17,"MHFP1011_RDKit","+","0.149","0.885","0.873","0.858","0.941","0.022","0.112","4.216","0.0000",173,"17"
18,"PatternFP1706_RDKit","+","0.144","0.894","0.881","0.867","0.945","0.021","0.110","4.073","0.0000",173,"18"
19,"RDKFP790_RDKit","+","0.138","0.903","0.891","0.878","0.950","0.019","0.106","3.906","0.0000",173,"19"
20,"FP351","+","0.134","0.909","0.898","0.885","0.954","0.018","0.103","3.783","0.0000",173,"20"
21,"MHFP975_RDKit","+","0.130","0.915","0.904","0.891","0.957","0.017","0.098","3.672","0.0000",173,"21"
22,"PubchemFP179","+","0.125","0.922","0.910","0.899","0.960","0.016","0.094","3.540","0.0000",173,"22"
23,"SECFP716_RDKit","+","0.122","0.927","0.915","0.904","0.963","0.015","0.090","3.440","0.0000",173,"23"
24,"PatternFP1238_RDKit","+","0.118","0.931","0.920","0.910","0.965","0.014","0.086","3.336","0.0000",173,"24"
25,"FEDLUMOmin","+","0.114","0.936","0.925","0.916","0.968","0.013","0.084","3.230","0.0000",173,"25"
26,"MHFP558_RDKit","+","0.111","0.940","0.930","0.921","0.970","0.012","0.079","3.136","0.0000",173,"26"
27,"MHFP1328_RDKit","+","0.106","0.946","0.936","0.927","0.972","0.011","0.076","3.001","0.0000",173,"27"
28,"PatternFP1767_RDKit","+","0.101","0.951","0.941","0.934","0.975","0.010","0.072","2.862","0.0000",173,"28"
29,"RDKFP655_RDKit","+","0.097","0.956","0.947","0.939","0.978","0.009","0.067","2.733","0.0000",173,"29"
30,"GraphFP348","+","0.094","0.959","0.950","0.943","0.979","0.009","0.065","2.647","0.0000",173,"30"
31,"RDKFP1526_RDKit","+","0.090","0.962","0.953","0.946","0.981","0.008","0.063","2.553","0.0000",173,"31"
32,"RDKFP604_RDKit","+","0.088","0.964","0.956","0.949","0.982","0.008","0.061","2.479","0.0000",173,"32"
