"Steps","Parameter","AddorRem","RMSE","R2","R2Adj","R2Pred","R","MSE","MAE","CoefVar","FormulaSig","nSample","nDesc"
1,"AATS3v","+","0.385","0.434","0.431","0.422","0.659","0.148","0.305","14.662","0.0000",173,"1"
2,"C1SP3","+","0.346","0.547","0.541","0.523","0.739","0.120","0.269","13.160","0.0000",173,"2"
3,"APC2D1_C_O","+","0.320","0.614","0.608","0.591","0.784","0.102","0.255","12.175","0.0000",173,"3"
4,"GGI4","+","0.297","0.669","0.661","0.647","0.818","0.088","0.226","11.312","0.0000",173,"4"
5,"MHFP478_RDKit","+","0.282","0.704","0.696","0.680","0.839","0.079","0.216","10.723","0.0000",173,"5"
6,"MHFP894_RDKit","+","0.266","0.739","0.729","0.713","0.859","0.071","0.202","10.115","0.0000",173,"6"
7,"minHBa","+","0.252","0.767","0.757","0.741","0.876","0.063","0.194","9.582","0.0000",173,"7"
8,"FP119","+","0.241","0.788","0.777","0.762","0.887","0.058","0.186","9.173","0.0000",173,"8"
9,"MHFP1234_RDKit","+","0.234","0.802","0.791","0.774","0.895","0.055","0.182","8.892","0.0000",173,"9"
10,"RDKFP615_RDKit","+","0.225","0.818","0.807","0.790","0.904","0.050","0.172","8.546","0.0000",173,"10"
11,"MHFP779_RDKit","+","0.216","0.832","0.821","0.797","0.912","0.047","0.164","8.227","0.0000",173,"11"
12,"MHFP532_RDKit","+","0.205","0.850","0.839","0.820","0.922","0.042","0.156","7.800","0.0000",173,"12"
13,"RDKFP1464_RDKit","+","0.198","0.860","0.849","0.825","0.928","0.039","0.150","7.556","0.0000",173,"13"
14,"MHFP22_RDKit","+","0.192","0.870","0.859","0.840","0.933","0.037","0.142","7.298","0.0000",173,"14"
15,"RDKFP948_RDKit","+","0.185","0.880","0.868","0.850","0.938","0.034","0.138","7.057","0.0000",173,"15"
16,"GATS7p","+","0.179","0.888","0.877","0.862","0.943","0.032","0.133","6.818","0.0000",173,"16"
17,"MHFP117_RDKit","+","0.174","0.896","0.884","0.869","0.946","0.030","0.129","6.615","0.0000",173,"17"
18,"MHFP546_RDKit","+","0.169","0.902","0.891","0.878","0.950","0.028","0.125","6.424","0.0000",173,"18"
19,"RDKFP417_RDKit","+","0.163","0.909","0.898","0.884","0.953","0.027","0.119","6.219","0.0000",173,"19"
20,"ExtFP177","+","0.157","0.916","0.905","0.892","0.957","0.025","0.116","5.988","0.0000",173,"20"
21,"ExtFP23","+","0.153","0.921","0.910","0.899","0.960","0.023","0.114","5.817","0.0000",173,"21"
22,"WAY31m_R","+","0.149","0.926","0.915","0.903","0.962","0.022","0.112","5.662","0.0000",173,"22"
23,"MHFP1141_RDKit","+","0.144","0.931","0.920","0.910","0.965","0.021","0.105","5.496","0.0000",173,"23"
24,"ExtFP24","+","0.139","0.936","0.925","0.915","0.967","0.019","0.102","5.308","0.0000",173,"24"
25,"RDKFP672_RDKit","+","0.136","0.940","0.929","0.919","0.969","0.018","0.100","5.161","0.0000",173,"25"
26,"ecfp8_3081_open","+","0.132","0.944","0.934","0.923","0.971","0.017","0.096","5.009","0.0000",173,"26"
27,"ExtFP133","+","0.127","0.948","0.938","0.929","0.974","0.016","0.091","4.832","0.0000",173,"27"
28,"MHFP1334_RDKit","+","0.124","0.951","0.941","0.932","0.975","0.015","0.088","4.703","0.0000",173,"28"
29,"MHFP826_RDKit","+","0.119","0.955","0.946","0.937","0.977","0.014","0.086","4.532","0.0000",173,"29"
30,"MHFP1619_RDKit","+","0.116","0.958","0.949","0.938","0.979","0.013","0.084","4.404","0.0000",173,"30"
31,"MHFP1369_RDKit","+","0.111","0.961","0.952","0.942","0.980","0.012","0.079","4.240","0.0000",173,"31"
32,"FpDensityMorgan1","+","0.108","0.964","0.955","0.945","0.982","0.012","0.076","4.107","0.0000",173,"32"
33,"PatternFP1456_RDKit","+","0.104","0.967","0.959","0.950","0.983","0.011","0.072","3.944","0.0000",173,"33"
34,"MHFP580_RDKit","+","0.099","0.970","0.963","0.955","0.985","0.010","0.067","3.758","0.0000",173,"34"
35,"FP834","+","0.095","0.973","0.966","0.957","0.986","0.009","0.065","3.605","0.0000",173,"35"
36,"KRFP3730","+","0.092","0.975","0.968","0.959","0.987","0.008","0.065","3.488","0.0000",173,"36"
37,"RDKFP1943_RDKit","+","0.088","0.976","0.970","0.962","0.988","0.008","0.062","3.365","0.0000",173,"37"
38,"ExtFP430","+","0.085","0.978","0.972","0.965","0.989","0.007","0.059","3.231","0.0000",173,"38"
39,"QCNegativemin","+","0.082","0.980","0.974","0.967","0.990","0.007","0.058","3.136","0.0000",173,"39"
40,"MHFP628_RDKit","+","0.079","0.981","0.976","0.969","0.991","0.006","0.055","3.025","0.0000",173,"40"
41,"FP971","+","0.077","0.983","0.977","0.970","0.991","0.006","0.053","2.935","0.0000",173,"41"
42,"MHFP1340_RDKit","+","0.075","0.984","0.979","0.973","0.992","0.006","0.052","2.844","0.0000",173,"42"
43,"RDKFP932_RDKit","+","0.072","0.985","0.980","0.974","0.993","0.005","0.050","2.738","0.0000",173,"43"
44,"ExtFP865","+","0.069","0.986","0.982","0.975","0.993","0.005","0.049","2.633","0.0000",173,"44"
45,"NSA","+","0.066","0.988","0.983","0.977","0.994","0.004","0.046","2.523","0.0000",173,"45"
46,"FP455","+","0.064","0.988","0.984","0.979","0.994","0.004","0.044","2.441","0.0000",173,"46"
47,"FP2_349_open.1","+","0.062","0.989","0.985","0.980","0.995","0.004","0.042","2.342","0.0000",173,"47"
48,"APC2D4_N_O","+","0.059","0.990","0.987","0.981","0.995","0.003","0.040","2.251","0.0000",173,"48"
49,"ExtFP127","+","0.057","0.991","0.988","0.983","0.996","0.003","0.037","2.162","0.0000",173,"49"
50,"fr_ester","+","0.054","0.992","0.989","0.984","0.996","0.003","0.035","2.065","0.0000",173,"50"
51,"RDKFP761_RDKit","+","0.052","0.993","0.990","0.985","0.996","0.003","0.034","1.966","0.0000",173,"51"
52,"GraphFP840","+","0.050","0.993","0.991","0.986","0.997","0.002","0.033","1.893","0.0000",173,"52"
53,"MHFP1139_RDKit","+","0.048","0.994","0.991","0.987","0.997","0.002","0.032","1.814","0.0000",173,"53"
54,"RDKFP1825_RDKit","+","0.046","0.994","0.992","0.988","0.997","0.002","0.031","1.756","0.0000",173,"54"
55,"RDKFP1259_RDKit","+","0.044","0.995","0.992","0.989","0.997","0.002","0.029","1.691","0.0000",173,"55"
56,"ExtFP118","+","0.043","0.995","0.993","0.990","0.998","0.002","0.028","1.623","0.0000",173,"56"
57,"RDKFP360_RDKit","+","0.041","0.996","0.994","0.991","0.998","0.002","0.026","1.547","0.0000",173,"57"
58,"ExtFP517","+","0.039","0.996","0.994","0.991","0.998","0.002","0.025","1.488","0.0000",173,"58"
59,"ExtFP506","+","0.037","0.996","0.995","0.992","0.998","0.001","0.024","1.427","0.0000",173,"59"
60,"MHFP973_RDKit","+","0.036","0.997","0.995","0.993","0.998","0.001","0.023","1.363","0.0000",173,"60"
61,"MHFP132_RDKit","+","0.034","0.997","0.995","0.993","0.999","0.001","0.022","1.311","0.0000",173,"61"
