"nDesc","nSample","Target","nround","lambda","lambda_min","lambda_max","max_depth","max_depth_min","max_depth_max","eta","eta_min","eta_max","gamma","gamma_min","gamma_max","min_child_weight","min_child_weight_min","min_child_weight_max","subsample","subsample_min","subsample_max","colsample_bytree","colsample_bytree_min","colsample_bytree_max","colsample_bylevel","colsample_bylevel_min","colsample_bylevel_max","Procesing","RMSELOOCV","Q2LOOCV","RMSEvaild","Q2vaild","RMSEtrain","R2train","RMSEtest","R2test","RMSEtrain_P","R2train_P","RMSEtest_P","R2test_P","RMSEtrain_U","R2train_U","RMSEtest_U","R2test_U"
2,346,"Bio",500,0,0,0,3,1,13,0.1,0.009,0.3,0.01,0,0.01,1,1,5,0.75,0.25,1,1,1,1,1,0.4,1,"-",0.335081671758565,0.755225558738294,"0.352966700271491","0.730760513581255",0.100964061222727,0.978302737677601,0.217385962902303,0.84714322244949,0.0971563018697559,0.951673746909829,0.231798179066443,0.641013783622871,0.104443436087516,0.964403785206921,0.195746600604311,0.768727404973778
3,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,1,1,5,0.75,0.25,1,1,1,1,1,0.4,1,"-",0.296198517544669,0.805195959437519,"0.302079414701556","0.797395367564945",0.113636345166951,0.972544757952407,0.263977404221975,0.778047438127308,0.106917434351358,0.941663594308721,0.267270049752499,0.49123648038556,0.119654111385673,0.952719232629676,0.259361706580028,0.651468515789979
4,346,"Bio",500,0,0,0,3,1,13,0.1,0.009,0.3,0.01,0,0.01,3,1,5,0.75,0.25,1,1,1,1,1,0.4,1,"-",0.27742697970351,0.829973079095205,"0.277229361473342","0.830839341794285",0.0924002050120541,0.981190332922671,0.227301707310314,0.830406951667075,0.0880937580145543,0.95695756527732,0.242616715322854,0.584276060791599,0.0963025217387738,0.967922840830392,0.204273400039973,0.763379003730714
5,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0.01,0,0.01,1,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.266871216694204,0.841477082517724,"0.265295442792801","0.843415733432193",0.120274183658067,0.968582835306063,0.216131875408918,0.841144073809711,0.108380631272666,0.937305689627329,0.212316578778451,0.675092669785043,0.130546025396495,0.941348985945678,0.221292504046158,0.722109680238036
6,346,"Bio",500,0,0,0,3,1,13,0.1,0.009,0.3,0.01,0,0.01,3,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.263725311170265,0.845846399901958,"0.266587771671053","0.842194279606445",0.0887678554462655,0.982727606167471,0.183530770969,0.889642416257633,0.0854393708614462,0.95984364450239,0.201362340046898,0.722739891883016,0.0918099123939701,0.970885313568043,0.155581891916407,0.853191369915553
7,346,"Bio",500,0,0,0,3,1,13,0.1,0.009,0.3,0,0,0.01,3,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.261686967190553,0.847867693357954,"0.262432556425554","0.847252481760102",0.0892360914298558,0.982532339103926,0.207863430375838,0.859965778756943,0.0812916318320464,0.963753402832914,0.20722769929404,0.692308882043207,0.0961588683267012,0.967499011720046,0.208738161693887,0.769127709239314
8,346,"Bio",500,0,0,0,3,1,13,0.1,0.009,0.3,0.01,0,0.01,1,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.252510821707856,0.858394528971117,"0.25515259065724","0.85558817033727",0.0832569773932398,0.984731363192346,0.187142052504823,0.881033067699437,0.0813883476318469,0.963640299514779,0.210050159847916,0.693360159808024,0.0849893684335685,0.974205380893134,0.149856498162801,0.876183139745179
9,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,3,1,5,0.75,0.25,1,1,1,1,1,0.4,1,"-",0.242328219317871,0.86934763657216,"0.247127715196748","0.864341169645779",0.0927443894370856,0.981123628012734,0.200408030850706,0.864556757834496,0.0853606573179182,0.95979039958379,0.217765480495584,0.674421717002336,0.0992340011887616,0.965667406589233,0.173608290769791,0.841587666802263
10,346,"Bio",500,0,0,0,5,1,13,0.05,0.009,0.3,0,0,0.01,5,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.237829581849779,0.874310707519444,"0.241509787291542","0.870404338866328",0.053985452646488,0.99358883250782,0.208623874286128,0.855527512863086,0.0521909255454299,0.984950047111664,0.231746409653735,0.635309416799625,0.055632160255091,0.989206100532394,0.171646160523715,0.820550005941831
11,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0.01,0,0.01,5,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.230132104163959,0.882430013529768,"0.23758738567642","0.874658714688205",0.108897397689339,0.973992144362238,0.190951453734741,0.878003114757676,0.0994973113856949,0.94538060552633,0.207483989608552,0.706954055494846,0.117108795515828,0.952365941067338,0.165426477957511,0.838662557823882
12,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,3,1,5,0.75,0.25,1,1,1,1,1,0.4,1,"-",0.235163165102217,0.876982727498236,"0.235754944251415","0.876408755126374",0.0875142100411893,0.983119185930569,0.197758199545861,0.871127006637698,0.0820756189126552,0.962662794212008,0.211279386992407,0.706681466270462,0.0923716570593231,0.969883855138112,0.177399854070952,0.818191593068968
13,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0.01,0,0.01,5,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.219167491899104,0.893361000538404,"0.216039293140002","0.896501128227624",0.0896318174442439,0.982321935541245,0.217323562153086,0.846235968096552,0.0866508822927785,0.958437541874661,0.21619605118891,0.689969585476164,0.0923671628257662,0.970066550518747,0.218871052427445,0.712134324096328
14,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,1,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.220882441654493,0.891905237447991,"0.219892327362215","0.892592866382375",0.0843089005013519,0.984341338441773,0.223237112422185,0.836408540640462,0.083042064961113,0.961839197798571,0.232465519630275,0.639949296766106,0.0854917460111088,0.974137877085518,0.209826924305942,0.730550532664378
15,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,3,1,5,0.75,0.25,1,1,1,1,1,0.4,1,"-",0.217904161742842,0.894397653134038,"0.222738409852364","0.889644796597125",0.0778352392496968,0.986621459866504,0.227129837319366,0.835260718745298,0.0765164328397505,0.967577318638348,0.242556830167343,0.622275258177101,0.0790643456984539,0.977830242367691,0.203916123054372,0.751598538420771
16,346,"Bio",500,0,0,0,3,1,13,0.1,0.009,0.3,0.01,0,0.01,3,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.216273997204361,0.895889588228867,"0.217723060700764","0.894587726972927",0.0716544729225527,0.988647306300541,0.212150175168907,0.865859195664407,0.0711671588433553,0.971921292671182,0.219637228553711,0.713679999289043,0.0721131012850065,0.981322701902647,0.201353750349265,0.765064557709748
17,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0.01,0,0.01,3,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.212058237522962,0.900481676237954,"0.217844341870299","0.894793756445601",0.0850130815453563,0.984070579464656,0.210324892179994,0.855624494085889,0.0834315275083821,0.961439231825741,0.208387649166513,0.719245008325755,0.0864847212454343,0.973555132349771,0.212971164613908,0.719466497669781
18,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,3,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.215346288503681,0.897026078967048,"0.217659498970671","0.895159942059638",0.0823804947160358,0.985031833927043,0.196954630440163,0.8764667421224,0.0798982010950126,0.964738253803859,0.205097935796815,0.738092851976367,0.0846650344063165,0.974367536892124,0.185121142809338,0.788379938408789
19,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0.01,0,0.01,3,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.215730386547087,0.897280826783094,"0.217654634636952","0.89496386258063",0.0813429327483717,0.98544328916082,0.215094088340853,0.853674069030746,0.0800870994585356,0.964485266261473,0.21775908484925,0.700727846200651,0.0825150407998005,0.976037724998164,0.211358619858923,0.727213564198275
20,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,3,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.206908334865986,0.905095167178542,"0.216364714256983","0.896343327227551",0.0820643684825073,0.985122272157739,0.209586680990916,0.855697480352005,0.0781777534276928,0.966087303246688,0.220322458126839,0.682230126129431,0.0855837665669664,0.974151812587298,0.193785750783703,0.769182956821503
21,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,5,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.210395280618057,0.902069465549481,"0.2169173716327","0.895855936669127",0.0857310339355475,0.983804345006868,0.20667648490192,0.85955038660197,0.0815044373093403,0.963167179576891,0.202922238673008,0.72261495301818,0.089551354636475,0.971826588136087,0.211751522969368,0.725480442102411
22,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,5,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.213400763748842,0.899165559618478,"0.213701793651483","0.898880918520116",0.0835758669547712,0.984601585635726,0.219567398390464,0.846042275711073,0.0803052567415798,0.964228409364187,0.223041676479874,0.68430667757294,0.0865604225206092,0.973725102256671,0.21467716934928,0.717482005451879
23,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0,0,0.01,5,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.210503119240919,0.901785920195092,"0.212859249182371","0.899481916011567",0.0835019283268666,0.984618763841859,0.191872255118121,0.87717190091124,0.0802749789893951,0.964256620808248,0.194394903887034,0.742992946923773,0.0864479961527923,0.973605242931368,0.188333055180423,0.780656727734386
24,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0.01,0,0.01,5,1,5,0.75,0.25,1,1,1,1,0.4,0.4,1,"-",0.211500322769864,0.901081865469381,"0.218075797364891","0.894804981517193",0.0823116995509576,0.98508314496112,0.206045459618961,0.854884024858695,0.0790090544457065,0.965421538805051,0.194118483130508,0.741181203400353,0.0853226801928391,0.974292353718496,0.221462561835076,0.699126394590058
25,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0.01,0,0.01,1,1,5,0.75,0.25,1,1,1,1,1,0.4,1,"-",0.212767573142845,0.899687531204705,"0.218190611679751","0.894360468248966",0.0687940655561967,0.989598551216809,0.238626245976849,0.820971718655184,0.0681114161065918,0.974495528414923,0.236968485496382,0.654882118988811,0.0694345954231467,0.982812554004844,0.240896780208884,0.64407616326433
26,346,"Bio",500,0,0,0,3,1,13,0.05,0.009,0.3,0.01,0,0.01,3,1,5,0.75,0.25,1,1,1,1,1,0.4,1,"-",0.213234402526566,0.899265336065494,"0.21884936651018","0.893609196247556",0.0707237295883298,0.988974609434444,0.21929579926668,0.844723425243772,0.069065330336178,0.973634967116599,0.225821830757374,0.669499121679366,0.0722597441670495,0.981419099289672,0.209950436401508,0.732822331790501
